id,title,tags,difficulty
58,The New Year: Meeting Friends,"['implementation', 'math', 'sortings']",800
59,Choosing Teams,"['greedy', 'implementation', 'sortings']",800
60,Holiday Of Equality,"['implementation', 'math']",800
61,Team Olympiad,"['greedy', 'implementation', 'sortings']",800
62,Two Arrays And Swaps,"['greedy', 'sortings']",800
63,Required Remainder,['math'],800
64,Even Array,"['greedy', 'math']",800
65,Minimal Square,"['greedy', 'math']",800
66,Gifts Fixing,['greedy'],800
67,Mishka and Game,['implementation'],800
68,Do Not Be Distracted!,"['brute+force', 'implementation']",800
69,Honest Coach,"['greedy', 'sortings']",800
70,Boring Apartments,"['implementation', 'math']",800
71,Maximum GCD,"['greedy', 'implementation', 'math', 'number+theory']",800
72,Spy Detected!,"['brute+force', 'implementation']",800
73,Bachgold Problem,"['greedy', 'implementation', 'math', 'number+theory']",800
74,Phoenix and Balance,"['greedy', 'math']",800
75,Soft Drinking,"['implementation', 'math']",800
76,Magical Sticks,['math'],800
77,Dislike of Threes,['implementation'],800
78,Fair Division,"['dp', 'greedy', 'math']",800
79,Black Square,['implementation'],800
80,Sereja and Dima,"['greedy', 'implementation', 'two+pointers']",800
81,Most Unstable Array,"['constructive+algorithms', 'greedy', 'math']",800
82,Cards for Friends,"['greedy', 'math']",800
83,Restore the Permutation by Merger,['greedy'],800
84,Polycarp and Coins,"['greedy', 'math']",800
85,Add Odd or Subtract Even,"['greedy', 'implementation', 'math']",800
86,Special Permutation,"['constructive+algorithms', 'probabilities']",800
87,Brain's Photos,['implementation'],800
88,Collecting Coins,['math'],800
89,Park Lighting,"['greedy', 'math']",800
90,Again Twenty Five!,['number+theory'],800
91,Maximum in Table,"['brute+force', 'implementation']",800
92,Ordinary Numbers,"['brute+force', 'math', 'number+theory']",800
93,Three Pairwise Maximums,['math'],800
94,Fair Playoff,"['brute+force', 'implementation']",800
95,FashionabLee,"['geometry', 'math']",800
96,Minutes Before the New Year,['math'],800
97,Vanya and Cubes,['implementation'],800
98,Fafa and his Company,"['brute+force', 'implementation']",800
99,Favorite Sequence,"['implementation', 'two+pointers']",800
100,Borze,"['expression+parsing', 'implementation']",800
101,Array with Odd Sum,['math'],800
102,Floor Number,"['implementation', 'math']",800
103,Gennady and a Card Game,"['brute+force', 'implementation']",800
104,Die Roll,"['math', 'probabilities']",800
105,CopyCopyCopyCopyCopy,"['greedy', 'implementation']",800
106,EhAb AnD gCd,"['constructive+algorithms', 'greedy', 'number+theory']",800
107,Mahmoud and Ehab and the even-odd game,"['games', 'math']",800
108,Night at the Museum,"['implementation', 'strings']",800
109,Omkar and Completion,"['constructive+algorithms', 'implementation']",800
110,LCM Problem,"['constructive+algorithms', 'greedy', 'math', 'number+theory']",800
111,Ichihime and Triangle,"['constructive+algorithms', 'math']",800
112,Stone Game,"['brute+force', 'dp', 'greedy']",800
113,Vus the Cossack and a Contest,['implementation'],800
114,Odd Set,['math'],800
115,Panoramix's Prediction,['brute+force'],800
116,Replacing Elements,"['greedy', 'implementation', 'math', 'sortings']",800
117,Who's Opposite?,['math'],800
118,Casimir's String Solitaire,"['math', 'strings']",800
119,Combination Lock,['implementation'],800
120,C+=,"['brute+force', 'greedy', 'implementation', 'math']",800
121,Strange Table,['math'],800
122,Dense Array,"['greedy', 'math']",800
123,Friends and Candies,"['greedy', 'math']",800
124,Perfect Permutation,"['implementation', 'math']",800
125,Arithmetic Array,"['greedy', 'math']",800
126,Maximum Increase,"['dp', 'greedy', 'implementation']",800
127,Eshag Loves Big Arrays,"['constructive+algorithms', 'greedy', 'math']",800
128,Bus to Udayland,"['brute+force', 'implementation']",800
129,Juggling Letters,"['greedy', 'strings']",800
130,Yet Another Bookshelf,"['greedy', 'implementation']",800
131,File Name,"['greedy', 'strings']",800
132,And Then There Were K,['bitmasks'],800
133,String Similarity,"['constructive+algorithms', 'strings']",800
134,Common Subsequence,['brute+force'],800
135,Shortest Path with Obstacle,"['implementation', 'math']",800
136,Bad Triangle,"['geometry', 'math']",800
137,Pretty Permutations,"['constructive+algorithms', 'greedy', 'implementation']",800
138,Unique Bid Auction,['implementation'],800
139,Mezo Playing Zoma,['math'],800
140,Three Piles of Candies,"['brute+force', 'constructive+algorithms', 'math']",800
141,Equalize Prices Again,['math'],800
142,Wonderful Coloring - 1,"['greedy', 'strings']",800
143,Red and Blue Beans,['math'],800
144,Anton and Digits,"['brute+force', 'greedy', 'implementation', 'math']",800
145,Gregor and Cryptography,"['math', 'number+theory']",800
146,Epic Game,['implementation'],800
147,I'm bored with life,"['implementation', 'math', 'number+theory']",800
148,QAQ,"['brute+force', 'dp']",800
149,Free Ice Cream,"['constructive+algorithms', 'implementation']",800
150,Domino Disaster,"['implementation', 'strings']",800
151,Patrick and Shopping,['implementation'],800
152,Captain Flint and Crew Recruitment,"['brute+force', 'greedy', 'math', 'number+theory']",800
153,The Cake Is a Lie,"['dp', 'math']",800
154,Find The Array,"['greedy', 'math']",800
155,Ezzat and Two Subsequences,"['brute+force', 'math', 'sortings']",800
156,Suborrays,"['constructive+algorithms', 'math']",800
157,Strange Functions,"['math', 'number+theory']",800
158,Nezzar and Colorful Balls,"['brute+force', 'greedy']",800
159,Last Year's Substring,"['dp', 'implementation', 'strings']",800
160,Frog Jumping,['math'],800
161,Cards,"['implementation', 'sortings', 'strings']",800
162,Puzzle Pieces,['math'],800
163,Space Navigation,"['greedy', 'strings']",800
164,Review Site,['greedy'],800
165,Yet Another String Game,"['games', 'greedy', 'strings']",800
166,Arena,"['implementation', 'sortings']",800
167,Two Regular Polygons,"['geometry', 'greedy', 'math', 'number+theory']",800
168,Cherry,['greedy'],800
169,Substring Removal Game,"['games', 'greedy', 'sortings']",800
170,Almost Rectangle,['implementation'],800
171,Average Height,['constructive+algorithms'],800
172,Digits Sum,"['math', 'number+theory']",800
173,Erasing Zeroes,"['implementation', 'strings']",800
174,System of Equations,['brute+force'],800
175,Infinity Table,"['implementation', 'math']",800
176,Potion-making,"['math', 'number+theory']",800
177,Alphabetical Strings,"['greedy', 'implementation', 'strings']",800
178,Two Rabbits,['math'],800
179,The Miracle and the Sleeper,"['greedy', 'math']",800
180,Sum of 2050,"['greedy', 'math']",800
181,Balanced Substring,['implementation'],800
182,Subtract or Divide,"['greedy', 'math']",800
183,Fix You,"['brute+force', 'greedy', 'implementation']",800
184,Colorful Stones (Simplified Edition),['implementation'],800
185,Bovine Dilemma,"['brute+force', 'geometry', 'math']",800
186,Mean Inequality,"['constructive+algorithms', 'sortings']",800
187,Puzzle From the Future,['greedy'],800
188,Rewards,['implementation'],800
189,Elections,['math'],800
190,Perfectly Imperfect Array,"['math', 'number+theory']",800
191,Polycarp's Pockets,['implementation'],800
192,Repeating Cipher,['implementation'],800
193,Nearest Interesting Number,['implementation'],800
194,Reorder,['math'],800
195,Tit for Tat,['greedy'],800
196,Meximization,"['brute+force', 'data+structures', 'greedy', 'sortings']",800
197,Cakeminator,"['brute+force', 'implementation']",800
198,Greg's Workout,['implementation'],800
199,Permutation Forgery,['constructive+algorithms'],800
200,Teams Forming,['sortings'],800
201,Three swimmers,['math'],800
202,Last minute enhancements,"['dp', 'greedy']",800
203,Robot Program,['math'],800
204,Choose Two Numbers,"['math', 'sortings']",800
205,Cancel the Trains,['implementation'],800
206,Subsequence Permutation,"['sortings', 'strings']",800
207,Alex and a Rhombus,"['dp', 'implementation', 'math']",800
208,XORwice,"['bitmasks', 'greedy', 'math']",800
209,"Rainbow Dash, Fluttershy and Chess Coloring","['greedy', 'math']",800
210,Heist,"['greedy', 'implementation', 'sortings']",800
211,Yet Another Dividing into Teams,['math'],800
212,There Are Two Types Of Burgers,"['brute+force', 'greedy', 'implementation', 'math']",800
213,CME,['math'],800
214,Domino on Windowsill,"['combinatorics', 'constructive+algorithms', 'math']",800
215,Non-zero,"['implementation', 'math']",800
216,Distinct Digits,"['brute+force', 'implementation']",800
217,Crazy Computer,['implementation'],800
218,Two distinct points,['implementation'],800
219,Dawid and Bags of Candies,"['brute+force', 'implementation']",800
220,Fence,"['geometry', 'math']",800
221,GCD Sum,"['brute+force', 'math']",800
222,Gregor and the Pawn Game,"['dfs+and+similar', 'dp', 'flows', 'graph+matchings', 'graphs', 'greedy', 'implementation']",800
223,Love Song,"['dp', 'implementation', 'strings']",800
224,Two Rival Students,"['greedy', 'math']",800
225,Dj Vu,"['constructive+algorithms', 'strings']",800
226,Tanya and Stairways,['implementation'],800
227,Omkar and Password,"['greedy', 'math']",800
228,Phoenix and Gold,"['constructive+algorithms', 'greedy', 'math']",800
229,Omkar and Bad Story,"['brute+force', 'constructive+algorithms']",800
230,In-game Chat,['implementation'],800
231,Integer Sequence Dividing,['math'],800
232,Remove Duplicates,['implementation'],800
233,Diverse Team,"['brute+force', 'implementation']",800
234,Adjacent Replacements,['implementation'],800
235,Divide it!,"['brute+force', 'greedy', 'implementation']",800
236,Binary Decimal,"['greedy', 'math']",800
237,Regular Bracket Sequences,['constructive+algorithms'],800
238,Buy the String,"['implementation', 'math']",800
239,Playing with Dice,['brute+force'],800
240,Prison Break,['math'],800
241,Specific Tastes of Andre,"['constructive+algorithms', 'implementation']",800
242,Three Strings,"['implementation', 'strings']",800
243,Array and Peaks,"['constructive+algorithms', 'implementation']",800
244,Key races,['math'],800
245,Angry Students,"['greedy', 'implementation']",800
246,Game,"['constructive+algorithms', 'math']",800
247,Mishka and Contest,"['brute+force', 'implementation']",800
248,Reconnaissance 2,['implementation'],800
249,Anti-knapsack,"['constructive+algorithms', 'greedy']",800
250,Countdown,['greedy'],800
251,Love Triangle,['graphs'],800
252,String Generation,"['constructive+algorithms', 'greedy']",800
253,Omkar and Infinity Clock,"['implementation', 'math']",800
254,Make a triangle!,"['brute+force', 'geometry', 'math']",800
255,Points in Segments,['implementation'],800
256,Even Subset Sum Problem,"['brute+force', 'dp', 'greedy', 'implementation']",800
257,Got Any Grapes?,"['brute+force', 'greedy', 'implementation']",800
258,Barrels,"['greedy', 'implementation', 'sortings']",800
259,New Year and Naming,"['implementation', 'strings']",800
260,Hotelier,"['brute+force', 'data+structures', 'implementation']",800
261,Grade Allocation,['implementation'],800
262,Sasha and Sticks,"['games', 'math']",800
263,Marketing Scheme,"['brute+force', 'constructive+algorithms', 'greedy', 'math']",800
264,Copy-paste,"['greedy', 'math']",800
265,Median Maximization,"['binary+search', 'greedy', 'math']",800
266,Water Buying,['math'],800
267,Array Rearrangment,"['greedy', 'sortings']",800
268,Coins,"['greedy', 'implementation', 'math']",800
269,K-th Largest Value,"['brute+force', 'greedy', 'implementation']",800
270,Pens and Pencils,['math'],800
271,Two Brackets,['greedy'],800
272,"Love ""A""","['implementation', 'strings']",800
273,Telephone Number,"['brute+force', 'greedy', 'strings']",800
274,Prefixes,['strings'],800
275,Cards,"['greedy', 'implementation']",800
276,Suffix Three,['implementation'],800
277,Consecutive Sum Riddle,['math'],800
278,AquaMoon and Two Arrays,"['brute+force', 'greedy']",800
279,One-dimensional Japanese Crossword,['implementation'],800
280,New Year and the Christmas Ornament,"['brute+force', 'implementation', 'math']",800
281,A Variety of Operations,['math'],800
282,Equation,"['brute+force', 'math']",800
283,Avoid Trygub,"['constructive+algorithms', 'sortings']",800
284,A+B (Trial Problem),['implementation'],800
285,Compote,"['implementation', 'math']",800
286,Diverse Strings,"['implementation', 'strings']",800
287,Between the Offices,['implementation'],800
288,Tokitsukaze and Enhancement,['brute+force'],800
289,The Rank,['implementation'],800
290,Card Game,"['games', 'greedy', 'math']",800
291,Little C Loves 3 I,['math'],800
292,Dice Rolling,['math'],800
293,Find Divisible,"['greedy', 'implementation', 'math']",800
294,Game,['sortings'],800
295,Box is Pull,['math'],800
296,Kids Seating,"['constructive+algorithms', 'math']",800
297,Red-Blue Shuffle,"['math', 'probabilities']",800
298,Petya and Origami,['math'],800
299,Changing Volume,['math'],800
300,MIN-MEX Cut,"['bitmasks', 'constructive+algorithms', 'dp', 'greedy']",800
301,Even Substrings,"['implementation', 'strings']",800
302,Nastya Is Reading a Book,['implementation'],800
303,Computer Game,"['brute+force', 'dfs+and+similar', 'dp', 'implementation']",800
304,Simply Strange Sort,"['brute+force', 'implementation', 'sortings']",800
305,Putting Plates,"['constructive+algorithms', 'implementation']",800
306,Shaass and Oskols,"['implementation', 'math']",800
307,Gamer Hemose,"['binary+search', 'greedy', 'math', 'sortings']",800
308,Stones,"['brute+force', 'greedy', 'math']",800
309,Nauuo and Votes,['greedy'],800
310,Army,['implementation'],800
311,Taymyr is calling you,"['brute+force', 'implementation', 'math']",800
312,Remove a Progression,['math'],800
313,Cupboards,['implementation'],800
314,Bulbs,['implementation'],800
315,PolandBall and Hypothesis,"['brute+force', 'graphs', 'math', 'number+theory']",800
316,Splitting into digits,"['constructive+algorithms', 'implementation', 'math']",800
317,Roma and Lucky Numbers,['implementation'],800
318,Cow and Haybales,"['greedy', 'implementation']",800
319,Ehab and another construction problem,"['brute+force', 'constructive+algorithms']",800
320,GukiZ and Contest,"['brute+force', 'implementation', 'sortings']",800
321,Maximum Square,['implementation'],800
322,Eleven,"['brute+force', 'implementation']",800
323,Supermarket,"['brute+force', 'greedy', 'implementation']",800
324,Prison Break,"['brute+force', 'math']",800
325,Vanya and Cards,"['implementation', 'math']",800
326,Finding Sasuke,"['constructive+algorithms', 'math']",800
327,Infinity Gauntlet,['implementation'],800
328,Uniform String,['implementation'],800
329,Vasya and Chocolate,"['implementation', 'math']",800
330,Suits,"['brute+force', 'greedy', 'math']",800
331,Coder,['implementation'],800
332,Ropewalkers,['math'],800
333,Keanu Reeves,['strings'],800
334,Chips,"['implementation', 'math']",800
335,-,"['greedy', 'implementation', 'sortings']",800
336,New Year and Counting Cards,"['brute+force', 'implementation']",800
337,A Good Contest,['implementation'],800
338,Another One Bites The Dust,['greedy'],800
339,Tom Riddle's Diary,"['brute+force', 'implementation', 'strings']",800
340,Kuroni and the Gifts,"['brute+force', 'constructive+algorithms', 'greedy', 'sortings']",800
341,Summer Camp,['implementation'],800
342,Neko Finds Grapes,"['greedy', 'implementation', 'math']",800
343,Rounding,"['implementation', 'math']",800
344,Equality,"['implementation', 'strings']",800
345,Add Candies,"['constructive+algorithms', 'math']",800
346,Vitaly and Night,"['constructive+algorithms', 'implementation']",800
347,Complicated GCD,"['math', 'number+theory']",800
348,Partition,['greedy'],800
349,Levko and Table,"['constructive+algorithms', 'implementation']",800
350,Game of Life,['implementation'],800
351,Opponents,['implementation'],800
352,Andryusha and Socks,['implementation'],800
353,Little Pony and Crystal Mine,['implementation'],800
354,Olympiad,"['implementation', 'sortings']",800
355,"Left-handers, Right-handers and Ambidexters","['implementation', 'math']",800
356,New Password,"['*special', 'implementation']",800
357,The Doors,['implementation'],800
358,Circle Coloring,['constructive+algorithms'],800
359,Nicholas and Permutation,"['constructive+algorithms', 'implementation']",800
360,Fingerprints,['implementation'],800
361,Lunar New Year and Cross Counting,['implementation'],800
362,Keyboard Layouts,"['implementation', 'strings']",800
363,Colour the Flag,"['brute+force', 'implementation']",800
364,Scarborough Fair,['implementation'],800
365,Tricky Alchemy,['implementation'],800
366,Fraction,"['brute+force', 'constructive+algorithms', 'math']",800
367,Golden Plate,"['implementation', 'math']",800
368,Second Order Statistics,['brute+force'],800
369,Snowball,['implementation'],800
370,Find Extra One,"['geometry', 'implementation']",800
371,Sea Battle,['math'],800
372,Luntik and Concerts,['math'],800
373,Buying A House,"['brute+force', 'implementation']",800
374,LLPS,"['binary+search', 'bitmasks', 'brute+force', 'greedy', 'implementation', 'strings']",800
375,King Moves,['implementation'],800
376,Lucky Ticket,['implementation'],800
377,Right-Left Cipher,"['implementation', 'strings']",800
378,Alexey and Train,['implementation'],800
379,Dead Pixel,['implementation'],800
380,Bear and Five Cards,"['constructive+algorithms', 'implementation']",800
381,Game Shopping,['implementation'],800
382,Far Relatives Birthday Cake,"['brute+force', 'combinatorics', 'constructive+algorithms', 'implementation']",800
383,Nastya and an Array,"['implementation', 'sortings']",800
384,Paint the Numbers,"['greedy', 'implementation', 'math']",800
385,Blackjack,['implementation'],800
386,Ostap and Grasshopper,"['implementation', 'strings']",800
387,Phone Numbers,['brute+force'],800
388,A pile of stones,"['implementation', 'math']",800
389,Windblume Ode,"['math', 'number+theory']",800
390,Memory and Crow,"['implementation', 'math']",800
391,Stock Arbitraging,"['greedy', 'implementation']",800
392,Definite Game,"['constructive+algorithms', 'math']",800
393,Vladik and Courtesy,"['brute+force', 'implementation']",800
394,CQXYM Count Permutations,"['combinatorics', 'math', 'number+theory']",800
395,Be Positive,['implementation'],800
396,Word Correction,['implementation'],800
397,Professor GukiZ's Robot,"['implementation', 'math']",800
398,Friends Meeting,"['brute+force', 'greedy', 'implementation', 'math']",800
399,Elections,"['implementation', 'math']",800
400,Piles With Stones,['math'],800
401,Triangular numbers,"['brute+force', 'math']",800
402,Quirky Quantifiers,['math'],800
403,Johny Likes Numbers,"['implementation', 'math']",800
404,Two Subsequences,['implementation'],800
405,Find Square,['implementation'],800
406,Minimum Binary Number,['implementation'],800
407,Prime Minister,['greedy'],800
408,Circle Line,['implementation'],800
409,Palindromic Supersequence,['constructive+algorithms'],800
410,Sleuth,['implementation'],800
411,Local Extrema,"['brute+force', 'implementation']",800
412,Book Reading,['implementation'],800
413,Flag,['implementation'],800
414,Splitting in Teams,"['constructive+algorithms', 'greedy', 'math']",800
415,Save Luke,['math'],800
416,Diagonal Walking,['implementation'],800
417,Little Artem and Presents,['math'],800
418,The Way to Home,"['dfs+and+similar', 'dp', 'greedy', 'implementation']",800
419,Arpa and a research in Mexican wave,"['implementation', 'math']",800
420,Display Size,"['brute+force', 'math']",800
421,Bear and Game,['implementation'],800
422,Paper Airplanes,['math'],800
423,Soroban,['implementation'],800
424,Splits,['math'],800
425,Elevator or Stairs?,['implementation'],800
426,Text Volume,['implementation'],800
427,DZY Loves Hash,['implementation'],800
428,Santa Claus and a Place in a Class,"['implementation', 'math']",800
429,Haiku,"['implementation', 'strings']",800
430,Okabe and Future Gadget Laboratory,['implementation'],800
431,Super Agent,['implementation'],800
432,Reconnaissance,['brute+force'],800
433,Sereja and Mugs,['implementation'],800
434,Slime Combining,['implementation'],800
435,Zoning Restrictions Again,['implementation'],800
436,Eugeny and Array,['implementation'],800
437,The King's Race,"['implementation', 'math']",800
438,Petr and a calendar,"['implementation', 'math']",800
439,Four Segments,['greedy'],800
440,Letter,['implementation'],800
441,System Administrator,['implementation'],800
442,Declined Finalists,"['greedy', 'implementation']",800
443,Chores,['implementation'],800
444,Bear and Reverse Radewoosh,['implementation'],800
445,Ball Game,"['brute+force', 'implementation']",800
446,Bank Robbery,"['brute+force', 'implementation']",800
447,Game Outcome,['brute+force'],800
448,Data Center,"['brute+force', 'implementation']",800
449,Good Matrix Elements,['implementation'],800
450,Diplomas and Certificates,"['implementation', 'math']",800
451,Determine Line,['implementation'],800
452,Good Matrix Elements,['implementation'],800
453,Spyke Talks,"['*special', 'implementation', 'sortings']",800
454,Password Check,"['*special', 'implementation']",800
455,Help Far Away Kingdom,['strings'],800
456,Chores,['sortings'],800
457,Series of Crimes,"['brute+force', 'geometry', 'implementation']",800
458,Forgotten Episode,['implementation'],800
459,Phone Code,"['*special', 'brute+force', 'implementation']",800
460,Year of University Entrance,"['*special', 'implementation', 'sortings']",800
461,Pasha and Hamsters,"['constructive+algorithms', 'implementation']",800
462,Fake News (easy),"['implementation', 'strings']",800
463,Second-Price Auction,['implementation'],800
464,Candies,['implementation'],800
465,Selling Hamburgers,['*special'],800
466,Generate superposition of all basis states,[],800
467,Football,"['implementation', 'strings']",900
468,Twins,"['greedy', 'sortings']",900
469,HQ9+,['implementation'],900
470,Even Odds,['math'],900
471,Kefa and First Steps,"['brute+force', 'dp', 'implementation']",900
472,Gravity Flip,"['greedy', 'implementation', 'sortings']",900
473,Dubstep,['strings'],900
474,Puzzles,['greedy'],900
475,Game With Sticks,['implementation'],900
476,Ilya and Bank Account,"['implementation', 'number+theory']",900
477,Candies,"['brute+force', 'math']",900
478,Vasya and Socks,"['brute+force', 'implementation', 'math']",900
479,Odd Divisor,"['math', 'number+theory']",900
480,"Multiply by 2, divide by 6",['math'],900
481,New Year's Number,"['brute+force', 'dp', 'math']",900
482,Construct the String,['constructive+algorithms'],900
483,Sale,"['greedy', 'sortings']",900
484,Keyboard,['implementation'],900
485,Case of the Zeros and Ones,['greedy'],900
486,Kana and Dragon Quest game,"['greedy', 'implementation', 'math']",900
487,Business trip,"['greedy', 'implementation', 'sortings']",900
488,Filling Diamonds,"['brute+force', 'dp', 'implementation', 'math']",900
489,Nastya and Rice,['math'],900
490,01 Game,['games'],900
491,Party,"['dfs+and+similar', 'graphs', 'trees']",900
492,Food Buying,['math'],900
493,Two-gram,"['implementation', 'strings']",900
494,Distance and Axis,"['constructive+algorithms', 'math']",900
495,Unique Number,"['brute+force', 'greedy', 'math']",900
496,Orac and Factors,['math'],900
497,Yet Another Tetris Problem,"['implementation', 'number+theory']",900
498,Array Reodering,"['brute+force', 'greedy', 'math', 'number+theory', 'sortings']",900
499,Magic Numbers,"['brute+force', 'greedy']",900
500,Dominant Piranha,"['constructive+algorithms', 'greedy']",900
501,Lineland Mail,"['greedy', 'implementation']",900
502,Wizard of Orz,"['constructive+algorithms', 'greedy', 'math']",900
503,Alarm Clock,['math'],900
504,Bad Boy,"['constructive+algorithms', 'greedy', 'math']",900
505,Maximums,"['implementation', 'math']",900
506,Make Product Equal One,"['dp', 'implementation']",900
507,Shifting Stacks,"['greedy', 'implementation']",900
508,"Devu, the Singer and Churu, the Joker","['greedy', 'implementation']",900
509,PizzaForces,"['brute+force', 'math']",900
510,Strange Partition,"['greedy', 'math', 'number+theory']",900
511,Chips Moving,['math'],900
512,Duff and Meat,['greedy'],900
513,Exciting Bets,"['greedy', 'math', 'number+theory']",900
514,Cubes Sorting,"['math', 'sortings']",900
515,Lunch Rush,['implementation'],900
516,Display The Number,['greedy'],900
517,Permutation Sort,"['constructive+algorithms', 'greedy']",900
518,Subset Mex,"['greedy', 'implementation', 'math']",900
519,Mocha and Math,"['bitmasks', 'constructive+algorithms', 'math']",900
520,Prime Subtraction,"['math', 'number+theory']",900
521,Customising the Track,"['combinatorics', 'greedy', 'math']",900
522,Candies Division,['math'],900
523,Juicer,['implementation'],900
524,Symmetric Matrix,['implementation'],900
525,Three Indices,"['brute+force', 'data+structures']",900
526,Tricky Sum,['math'],900
527,Lights Out,['implementation'],900
528,Number of Apartments,"['brute+force', 'constructive+algorithms', 'math']",900
529,Oath of the Night's Watch,"['constructive+algorithms', 'sortings']",900
530,Decoding,"['implementation', 'strings']",900
531,Mocha and Red and Blue,"['dp', 'greedy']",900
532,Dreamoon and Ranking Collection,['implementation'],900
533,ABC String,"['bitmasks', 'brute+force', 'implementation']",900
534,Prime Square,"['constructive+algorithms', 'math']",900
535,Maximal Continuous Rest,['implementation'],900
536,Digit Game,"['games', 'greedy', 'implementation']",900
537,Three Friends,"['brute+force', 'greedy', 'math', 'sortings']",900
538,Split it!,"['brute+force', 'constructive+algorithms', 'greedy', 'strings']",900
539,Non-Substring Subsequence,"['dp', 'greedy', 'implementation', 'strings']",900
540,Modular Exponentiation,"['implementation', 'math']",900
541,Contest,['implementation'],900
542,A and B and Chess,['implementation'],900
543,Even But Not Even,"['greedy', 'math', 'strings']",900
544,Hexadecimal's theorem,"['brute+force', 'constructive+algorithms', 'implementation', 'number+theory']",900
545,Array Stabilization,['implementation'],900
546,Wet Shark and Odd and Even,['implementation'],900
547,Almost Prime,['number+theory'],900
548,Equalize Prices,['math'],900
549,Delete from the Left,"['brute+force', 'implementation', 'strings']",900
550,Make it Divisible by 25,"['dfs+and+similar', 'dp', 'greedy', 'math', 'math']",900
551,Mislove Has Lost an Array,"['greedy', 'math']",900
552,Cookies,['implementation'],900
553,Shooting,"['greedy', 'implementation', 'sortings']",900
554,The Great Hero,"['greedy', 'implementation', 'sortings']",900
555,New Year Garland,['math'],900
556,Sum of Medians,"['greedy', 'math']",900
557,Sasha and His Trip,"['dp', 'greedy', 'math']",900
558,Little Elephant and Rozdil,"['brute+force', 'implementation']",900
559,Avoiding Zero,"['math', 'sortings']",900
560,From Hero to Zero,"['implementation', 'math']",900
561,Cover Points,"['geometry', 'math']",900
562,Parity Alternated Deletions,"['greedy', 'implementation', 'sortings']",900
563,XORinacci,['math'],900
564,Reversing Encryption,['implementation'],900
565,Napoleon Cake,"['dp', 'implementation', 'sortings']",900
566,Grow The Tree,"['greedy', 'math', 'sortings']",900
567,Arrays,['sortings'],900
568,Elimination,"['greedy', 'math']",900
569,Fast Food Restaurant,"['brute+force', 'greedy', 'implementation']",900
570,Forgetting Things,['math'],900
571,Minimum Difficulty,"['brute+force', 'implementation', 'math']",900
572,Holidays,"['brute+force', 'constructive+algorithms', 'greedy', 'math']",900
573,Stickers and Toys,['math'],900
574,Temporarily unavailable,"['implementation', 'math']",900
575,Parity,['math'],900
576,Letters Rearranging,"['constructive+algorithms', 'greedy', 'sortings', 'strings']",900
577,Is it rated?,"['implementation', 'sortings']",900
578,Triangle,"['brute+force', 'geometry']",900
579,Square?,"['brute+force', 'implementation', 'math']",900
